Time (ms),Channel A (mV),Channel B (V)
-8.34047908,23.18186000,-0.38706620
-8.33535908,23.18186000,-0.38706620
-8.33023908,23.18186000,-0.37827690
-8.32511908,23.18186000,-0.36069830
-8.31999908,24.93362000,-0.36069830
-8.31487908,24.93362000,-0.36069830
-8.30975908,23.18186000,-0.36069830
-8.30463908,24.93362000,-0.34311960
-8.29951908,24.93362000,-0.33433030
-8.29439908,26.67928000,-0.32554090
-8.28927908,26.67928000,-0.32554090
-8.28415908,26.67928000,-0.31675160
-8.27903908,24.93362000,-0.31675160
-8.27391908,26.67928000,-0.30796230
-8.26879908,26.67928000,-0.29041410
-8.26367908,26.67928000,-0.29041410
-8.25855908,26.67928000,-0.29041410
-8.25343908,26.67928000,-0.28162480
-8.24831908,26.67928000,-0.27283550
-8.24319908,26.67928000,-0.25525680
-8.23807908,26.67928000,-0.25525680
-8.23295908,26.67928000,-0.25525680
-8.22783908,26.67928000,-0.24646750
-8.22271908,26.67928000,-0.23767820
-8.21759908,26.67928000,-0.22888880
-8.21247908,28.42494000,-0.22009950
-8.20735908,28.42494000,-0.22009950
-8.20223908,28.42494000,-0.20252080
-8.19711908,26.67928000,-0.20252080
-8.19199908,26.67928000,-0.19373150
-8.18687908,28.42494000,-0.18494220
-8.18175908,28.42494000,-0.18494220
-8.17663908,28.42494000,-0.17615280
-8.17151908,28.42494000,-0.16736350
-8.16639908,28.42494000,-0.15857420
-8.16127908,26.67928000,-0.15857420
-8.15615908,26.67928000,-0.14981540
-8.15103908,28.42494000,-0.14102600
-8.14591908,28.42494000,-0.13223670
-8.14079908,28.42494000,-0.12344740
-8.13567908,28.42494000,-0.11465800
-8.13055908,28.42494000,-0.11465800
-8.12543908,28.42494000,-0.10586870
-8.12031908,30.17670000,-0.10586870
-8.11519908,28.42494000,-0.07950072
-8.11007908,28.42494000,-0.07950072
-8.10495908,28.42494000,-0.07950072
-8.09983908,30.17670000,-0.07071139
-8.09471908,30.17670000,-0.05313272
-8.08959908,30.17670000,-0.04434339
-8.08447908,28.42494000,-0.04434339
-8.07935908,30.17670000,-0.03555406
-8.07423908,30.17670000,-0.02676473
-8.06911908,30.17670000,-0.01797540
-8.06399908,30.17670000,-0.00921659
-8.05887908,30.17670000,-0.00921659
-8.05375908,30.17670000,-0.00045778
-8.04863908,30.17670000,-0.00045778
-8.04351908,30.17670000,0.01712088
-8.03839908,30.17670000,0.02591021
-8.03327908,28.42494000,0.03469954
-8.02815908,30.17670000,0.03469954
-8.02303908,30.17670000,0.04348888
-8.01791908,30.17670000,0.05227821
-8.01279908,30.17670000,0.06106754
-8.00767908,30.17670000,0.06985687
-8.00255908,30.17670000,0.06985687
-7.99743908,30.17670000,0.08743553
-7.99231908,30.17670000,0.08743553
-7.98719908,30.17670000,0.09622486
-7.98207908,30.17670000,0.09622486
-7.97695908,30.17670000,0.10501420
-7.97183908,30.17670000,0.11380350
-7.96671908,30.17670000,0.12259290
-7.96159908,30.17670000,0.13138220
-7.95647908,30.17670000,0.14014100
-7.95135908,30.17670000,0.14014100
-7.94623908,30.17670000,0.14893030
-7.94111908,30.17670000,0.15771970
-7.93599908,30.17670000,0.16650900
-7.93087908,30.17670000,0.17529830
-7.92575908,30.17670000,0.18408760
-7.92063908,28.42494000,0.18408760
-7.91551908,30.17670000,0.20166630
-7.91039908,28.42494000,0.20166630
-7.90527908,28.42494000,0.20166630
-7.90015908,30.17670000,0.21924500
-7.89503908,30.17670000,0.22803430
-7.88991908,28.42494000,0.23682360
-7.88479908,28.42494000,0.23682360
-7.87967908,30.17670000,0.24561300
-7.87455908,28.42494000,0.24561300
-7.86943908,28.42494000,0.25440230
-7.86431908,28.42494000,0.27198090
-7.85919908,28.42494000,0.27198090
-7.85407908,26.67928000,0.28073980
-7.84895908,28.42494000,0.28073980
-7.84383908,28.42494000,0.28952910
-7.83871908,26.67928000,0.29831840
-7.83359908,28.42494000,0.30710770
-7.82847908,26.67928000,0.31589710
-7.82335908,26.67928000,0.32468640
-7.81823908,28.42494000,0.32468640
-7.81311908,26.67928000,0.33347570
-7.80799908,26.67928000,0.34226510
-7.80287908,26.67928000,0.34226510
-7.79775908,26.67928000,0.35105440
-7.79263908,26.67928000,0.35984370
-7.78751908,26.67928000,0.36863310
-7.78239908,26.67928000,0.37742240
-7.77727908,26.67928000,0.37742240
-7.77215908,26.67928000,0.38621170
-7.76703908,26.67928000,0.38621170
-7.76191908,26.67928000,0.39500110
-7.75679908,26.67928000,0.40379040
-7.75167908,26.67928000,0.41257970
-7.74655908,26.67928000,0.41257970
-7.74143908,26.67928000,0.42133850
-7.73631908,24.93362000,0.43012790
-7.73119908,26.67928000,0.43891720
-7.72607908,24.93362000,0.43891720
-7.72095908,24.93362000,0.44770650
-7.71583908,24.93362000,0.44770650
-7.71071908,24.93362000,0.45649590
-7.70559908,24.93362000,0.46528520
-7.70047908,24.93362000,0.47407450
-7.69535908,23.18186000,0.47407450
-7.69023908,24.93362000,0.48286380
-7.68511908,23.18186000,0.48286380
-7.67999908,23.18186000,0.50044250
-7.67487908,23.18186000,0.50044250
-7.66975908,23.18186000,0.50044250
-7.66463908,23.18186000,0.50923190
-7.65951908,23.18186000,0.51802120
-7.65439908,23.18186000,0.51802120
-7.64927908,23.18186000,0.52681050
-7.64415908,23.18186000,0.52681050
-7.63903908,23.18186000,0.52681050
-7.63391908,23.18186000,0.53559980
-7.62879908,23.18186000,0.54438920
-7.62367908,23.18186000,0.54438920
-7.61855908,21.43620000,0.55317850
-7.61343908,23.18186000,0.56193730
-7.60831908,21.43620000,0.56193730
-7.60319908,21.43620000,0.57072660
-7.59807908,21.43620000,0.57072660
-7.59295908,21.43620000,0.57951600
-7.58783908,19.69054000,0.58830530
-7.58271908,19.69054000,0.58830530
-7.57759908,19.69054000,0.59709470
-7.57247908,19.69054000,0.59709470
-7.56735908,19.69054000,0.60588400
-7.56223908,19.69054000,0.60588400
-7.55711908,19.69054000,0.61467330
-7.55199908,19.69054000,0.61467330
-7.54687908,19.69054000,0.62346260
-7.54175908,17.93878000,0.62346260
-7.53663908,17.93878000,0.63225200
-7.53151908,19.69054000,0.63225200
-7.52639908,17.93878000,0.63225200
-7.52127908,17.93878000,0.64104130
-7.51615908,16.19312000,0.64104130
-7.51103908,17.93878000,0.64983060
-7.50591908,16.19312000,0.65861990
-7.50079908,16.19312000,0.65861990
-7.49567908,16.19312000,0.65861990
-7.49055908,16.19312000,0.65861990
-7.48543908,16.19312000,0.65861990
-7.48031908,16.19312000,0.66740930
-7.47519908,16.19312000,0.66740930
-7.47007908,16.19312000,0.66740930
-7.46495908,16.19312000,0.68498800
-7.45983908,16.19312000,0.67619860
-7.45471908,14.44746000,0.69377730
-7.44959908,14.44746000,0.69377730
-7.44447908,14.44746000,0.69377730
-7.43935908,14.44746000,0.69377730
-7.43423908,14.44746000,0.69377730
-7.42911908,12.69570000,0.70253610
-7.42399908,14.44746000,0.70253610
-7.41887908,12.69570000,0.70253610
-7.41375908,12.69570000,0.70253610
-7.40863908,12.69570000,0.71132540
-7.40351908,12.69570000,0.71132540
-7.39839908,12.69570000,0.72011480
-7.39327908,12.69570000,0.72890410
-7.38815908,12.69570000,0.72011480
-7.38303908,12.69570000,0.72890410
-7.37791908,10.95004000,0.72890410
-7.37279908,10.95004000,0.72890410
-7.36767908,9.20438300,0.72890410
-7.36255908,9.20438300,0.72890410
-7.35743908,9.20438300,0.72890410
-7.35231908,9.20438300,0.73769340
-7.34719908,9.20438300,0.73769340
-7.34207908,9.20438300,0.73769340
-7.33695908,9.20438300,0.73769340
-7.33183908,7.45262000,0.74648270
-7.32671908,9.20438300,0.74648270
-7.32159908,7.45262000,0.74648270
-7.31647908,5.70696100,0.74648270
-7.31135908,5.70696100,0.74648270
-7.30623908,5.70696100,0.74648270
-7.30111908,5.70696100,0.75527210
-7.29599908,5.70696100,0.74648270
-7.29087908,5.70696100,0.75527210
-7.28575908,5.70696100,0.75527210
-7.28063908,5.70696100,0.75527210
-7.27551908,5.70696100,0.75527210
-7.27039908,5.70696100,0.75527210
-7.26527908,5.70696100,0.75527210
-7.26015908,2.21564400,0.76406140
-7.25503908,3.96130300,0.76406140
-7.24991908,3.96130300,0.76406140
-7.24479908,3.96130300,0.76406140
