Frequency,Channel A,Channel B
(kHz),(dBu),(dBu)

9.87052917,-79.88965000,-50.76874000
9.91821289,-85.53780000,-56.19687000
9.96589661,-79.85352000,-53.33503000
10.01358032,-79.29639000,-50.08666000
10.06126404,-87.51620000,-57.68334000
10.10894775,-78.61530000,-55.24435000
10.15663147,-80.83441000,-49.82704000
10.20431519,-84.61056000,-52.61928000
10.25199890,-79.32301000,-51.25970000
10.29968262,-80.85354000,-50.66315000
10.34736633,-85.43743000,-58.82003000
10.39505005,-78.64690000,-50.72300000
10.44273376,-81.13170000,-52.80861000
10.49041748,-84.01947000,-51.22446000
10.53810120,-78.29936000,-56.43669000
10.58578491,-83.14864000,-57.02425000
10.63346863,-82.53819000,-60.28425000
10.68115234,-79.11416000,-56.42068000
10.72883606,-82.40135000,-51.81346000
10.77651978,-83.15986000,-50.69414000
10.82420349,-78.20129000,-50.50251000
10.87188721,-84.30774000,-50.33529000
10.91957092,-80.99944000,-66.60050000
10.96725464,-78.80181000,-52.49962000
11.01493835,-85.12498000,-52.51667000
11.06262207,-81.05388000,-51.50860000
11.11030579,-79.19629000,-60.38776000
11.15798950,-84.74342000,-50.80755000
11.20567322,-80.67501000,-49.62389000
11.25335693,-78.62425000,-50.73592000
11.30104065,-87.56065000,-51.36928000
11.34872437,-79.31760000,-50.17347000
11.39640808,-79.97426000,-53.37499000
11.44409180,-85.35302000,-55.53341000
11.49177551,-79.99950000,-49.74071000
11.53945923,-79.70956000,-48.18608000
11.58714294,-86.73260000,-57.74866000
11.63482666,-78.95792000,-56.85846000
11.68251038,-80.04723000,-51.45140000
11.73019409,-85.70467000,-48.34283000
11.77787781,-78.66340000,-50.80884000
11.82556152,-81.60075000,-53.74340000
11.87324524,-84.15051000,-48.54420000
11.92092896,-79.23072000,-48.59533000
11.96861267,-80.93568000,-60.57957000
12.01629639,-85.01618000,-59.49041000
12.06398010,-78.15083000,-52.80702000
12.11166382,-82.63548000,-59.93920000
12.15934753,-82.39719000,-69.36097000
12.20703125,-78.77190000,-59.43408000
12.25471497,-83.33987000,-49.94067000
12.30239868,-82.57327000,-51.12358000
12.35008240,-78.80061000,-75.02950000
12.39776611,-83.23022000,-65.38538000
12.44544983,-81.83006000,-53.06225000
12.49313354,-78.25333000,-47.91911000
12.54081726,-86.01620000,-47.84220000
12.58850098,-80.33897000,-60.21436000
12.63618469,-79.42142000,-54.29981000
12.68386841,-84.75626000,-56.39235000
12.73155212,-80.99666000,-53.88021000
12.77923584,-78.89741000,-53.59606000
12.82691956,-86.50618000,-55.56957000
12.87460327,-79.56541000,-79.19604000
12.92228699,-79.28608000,-54.34763000
12.96997070,-86.67413000,-49.66778000
13.01765442,-79.32829000,-52.20084000
13.06533813,-80.42014000,-64.06033000
13.11302185,-85.29327000,-57.29568000
13.16070557,-79.62365000,-55.74900000
13.20838928,-79.76640000,-49.67546000
13.25607300,-86.89859000,-57.57091000
13.30375671,-78.38734000,-55.33928000
13.35144043,-81.28767000,-48.20660000
13.39912415,-83.96445000,-46.69853000
13.44680786,-79.02121000,-51.13309000
13.49449158,-81.68063000,-71.12798000
