Time,Channel A
(ms),(V)

164.06048712,0.20014040
164.12299111,0.21063870
164.18549511,0.21881770
164.24799911,0.22479930
164.31050311,0.24274420
164.37300710,0.25641650
164.43551110,0.27460550
164.49801510,0.29004790
164.56051910,0.29773860
164.62302309,0.30298780
164.68552709,0.31366920
164.74803109,0.33436080
164.81053509,0.35053560
164.87303908,0.37073890
164.93554308,0.39265110
164.99804708,0.40107430
165.06055108,0.40284430
165.12305507,0.41279340
165.18555907,0.42176580
165.24806307,0.44392230
165.31056707,0.46656700
165.37307106,0.48701440
165.43557506,0.50892670
165.49807906,0.51686150
165.56058306,0.51014740
165.62308705,0.51136820
165.68559105,0.52858060
165.74809505,0.54847870
165.81059905,0.58583330
165.87310304,0.61275060
165.93560704,0.61470380
165.99811104,0.60927150
166.06061504,0.60402230
166.12311903,0.61146890
166.18562303,0.64583270
166.24812703,0.68593400
166.31063103,0.71431620
166.37313502,0.73946350
166.43563902,0.72750020
166.49814302,0.71059300
166.56064702,0.70064400
166.62315101,0.71932130
166.68565501,0.76558730
166.74815901,0.82064270
166.81066301,0.85573900
166.87316700,0.85500660
166.93567100,0.82540360
166.99817500,0.78627890
167.06067900,0.77706230
167.12318299,0.83382670
167.18568699,0.90755950
167.24819099,0.98922690
167.31069499,1.01138300
167.37319898,0.95907470
167.43570298,0.87270730
167.49820698,0.80446790
167.56071098,0.82387770
167.62321497,0.95089570
167.68571897,1.14932700
167.74822297,1.29648700
167.81072697,1.26633500
167.87323096,0.98397780
167.93573496,0.46510210
167.99823896,-0.16834010
168.06074296,-0.77614670
168.12324695,-1.20841100
168.18575095,-1.37369900
168.24825495,-1.31766700
168.31075894,-1.12820800
168.37326294,-0.95516830
168.43576694,-0.86776330
168.49827094,-0.88821070
168.56077493,-0.98178050
168.62327893,-1.05850400
168.68578293,-1.07913400
168.74828693,-1.02938900
168.81079092,-0.94644000
168.87329492,-0.86477250
168.93579892,-0.84707180
168.99830292,-0.86202580
169.06080691,-0.90310370
169.12331091,-0.93374430
169.18581491,-0.91506700
169.24831891,-0.87276830
169.31082290,-0.81447800
169.37332690,-0.78334910
169.43583090,-0.77614670
169.49833490,-0.79506820
169.56083889,-0.81923880
169.62334289,-0.81600390
169.68584689,-0.79305400
169.74835089,-0.75917850
169.81085488,-0.71736810
169.87335888,-0.69447920
169.93586288,-0.70192570
169.99836688,-0.71163060
170.06087087,-0.71040990
170.12337487,-0.69844660
170.18587887,-0.68050170
170.24838287,-0.64589380
170.31088686,-0.62398140
170.37339086,-0.61976990
170.43589486,-0.62672810
170.49839886,-0.62227240
170.56090285,-0.62074650
170.62340685,-0.60530410
170.68591085,-0.58742030
170.74841485,-0.55629140
170.81091884,-0.54982150
170.87342284,-0.54554890
170.93592684,-0.54634240
170.99843084,-0.53535570
171.06093483,-0.53389080
171.12343883,-0.51442000
171.18594283,-0.50025940
171.24844683,-0.48432870
171.31095082,-0.47560050
171.37345482,-0.47907960
171.43595882,-0.47010710
171.49846282,-0.46467480
171.56096681,-0.44898830
171.62347081,-0.43873410
171.68597481,-0.42109440
171.74847881,-0.40913110
171.81098280,-0.40589620
171.87348680,-0.40412610
171.93599080,-0.39643540
171.99849480,-0.39020970
172.06099879,-0.37751400
172.12350279,-0.36353650
172.18600679,-0.36280410
172.24851079,-0.35486920
172.31101478,-0.34485920
172.37351878,-0.33838920
172.43602278,-0.33668020
172.49852678,-0.33118690
172.56103077,-0.31647690
172.62353477,-0.31202130
172.68603877,-0.30652790
172.74854277,-0.29731130
172.81104676,-0.29834900
172.87355076,-0.28534810
172.93605476,-0.28162480
172.99855876,-0.27564320
173.06106275,-0.26892910
173.12356675,-0.26245920
173.18607075,-0.25849180
173.24857475,-0.25501270
173.31107874,-0.25153360
173.37358274,-0.24079100
173.43608674,-0.23609120
173.49859073,-0.23908200
173.56109473,-0.22858360
173.62359873,-0.23407700
173.68610273,-0.22260200
173.74860672,-0.22437210
173.81111072,-0.21338540
173.87361472,-0.20819730
173.93611872,-0.21216470
173.99862271,-0.20123900
174.06112671,-0.20447400
174.12363071,-0.19824820
174.18613471,-0.19946900
174.24863870,-0.19501330
174.31114270,-0.19745480
174.37364670,-0.18823820
174.43615070,-0.19122900
174.49865469,-0.18451490
174.56115869,-0.18152410
174.62366269,-0.18207340
174.68616669,-0.17706840
174.74867068,-0.17804500
174.81117468,-0.17780080
174.87367868,-0.18127990
