Frequency,Channel B
(kHz),(dBu)

12.87460327,-58.47459000
12.96997070,-56.01475000
13.06533813,-58.01178000
13.16070557,-66.23851000
13.25607300,-70.03561000
13.35144043,-64.84574000
13.44680786,-64.49958000
13.54217529,-69.61869000
13.63754272,-72.37946000
13.73291016,-65.64099000
13.82827759,-63.18113000
13.92364502,-67.00766000
14.01901245,-77.10672000
14.11437988,-81.04263000
14.20974731,-71.70042000
14.30511475,-74.55441000
14.40048218,-66.99977000
14.49584961,-62.77192000
14.59121704,-63.47946000
14.68658447,-66.16381000
14.78195190,-66.75252000
14.87731934,-66.78522000
14.97268677,-63.64487000
15.06805420,-65.05654000
15.16342163,-70.21658000
15.25878906,-73.99564000
15.35415649,-69.77081000
15.44952393,-66.93353000
15.54489136,-66.30832000
15.64025879,-69.81126000
15.73562622,-67.00970000
15.83099365,-63.51928000
15.92636108,-62.35145000
16.02172852,-64.31571000
16.11709595,-65.28328000
16.21246338,-68.31734000
16.30783081,-68.62417000
16.40319824,-64.03595000
16.49856567,-70.17228000
16.59393311,-86.70235000
16.68930054,-69.74358000
16.78466797,-63.08293000
16.88003540,-63.59445000
16.97540283,-73.19932000
17.07077026,-64.11597000
17.16613770,-61.28681000
17.26150513,-64.68281000
17.35687256,-66.03918000
17.45223999,-67.88238000
17.54760742,-76.21333000
17.64297485,-69.67347000
17.73834229,-71.87994000
17.83370972,-62.91766000
17.92907715,-61.18775000
18.02444458,-62.37978000
18.11981201,-67.65008000
18.21517944,-73.44593000
18.31054688,-71.92853000
18.40591431,-68.23987000
18.50128174,-65.15222000
18.59664917,-63.88721000
18.69201660,-70.00220000
18.78738403,-80.90498000
18.88275146,-74.47001000
18.97811890,-68.43728000
19.07348633,-67.84717000
19.16885376,-73.24735000
19.26422119,-72.05772000
19.35958862,-61.08577000
19.45495605,-58.86484000
19.55032349,-62.49774000
19.64569092,-65.33139000
19.74105835,-65.15045000
19.83642578,-67.12444000
19.93179321,-68.50668000
20.02716064,-73.28377000
20.12252808,-74.15327000
20.21789551,-64.90377000
20.31326294,-60.50667000
20.40863037,-63.63377000
20.50399780,-68.62376000
20.59936523,-63.17932000
20.69473267,-62.70209000
20.79010010,-66.80888000
20.88546753,-73.23404000
20.98083496,-70.42316000
21.07620239,-70.15656000
21.17156982,-62.35273000
21.26693726,-60.71835000
21.36230469,-65.73037000
21.45767212,-72.89652000
21.55303955,-68.94392000
21.64840698,-66.64872000
21.74377441,-68.40063000
21.83914185,-66.21584000
21.93450928,-62.23144000
22.02987671,-63.47913000
22.12524414,-70.50095000
22.22061157,-89.85841000
22.31597900,-67.55537000
22.41134644,-64.74045000
22.50671387,-70.56685000
22.60208130,-71.27851000
22.69744873,-67.47092000
22.79281616,-79.61000000
22.88818359,-65.59344000
22.98355103,-67.01099000
23.07891846,-68.48122000
23.17428589,-64.41607000
