Time,Channel A,Frequency,Triangular,Rectangular,Channel A
(ms),(V),(kHz),(dBV),(dBV),(dBV)
,,,,,
-4.92306577,0.1106296,9.32481503,-95.79433,-85.39328,-90.37209
-4.92256177,-0.4939726,9.38536577,-96.58306,-91.59573,-89.13373
-4.92205777,-0.09598071,9.44591652,-94.00906,-84.79023,-88.48885
-4.92155377,0.4967803,9.50646727,-93.44754,-95.58773,-88.13057
-4.92104977,0.08325449,9.56701801,-94.71313,-86.46863,-88.3833
-4.92054577,-0.4984283,9.62756876,-94.61739,-89.73601,-89.60918
-4.92004177,-0.06970428,9.68811951,-94.14417,-108.2075,-91.58233
-4.91953777,0.4982757,9.74867025,-95.64189,-84.02119,-93.73791
-4.91903377,0.05710013,9.809221,-98.98248,-98.60233,-96.52863
-4.91852977,-0.4996796,9.86977175,-99.16611,-87.45811,-100.1311
-4.91802577,-0.04382458,9.93032249,-101.2908,-87.97388,-98.81609
-4.91752177,0.5030061,9.99087324,-99.64494,-101.5651,-94.23074
-4.91701777,0.0344554,10.05142399,-94.18446,-84.7901,-91.09332
-4.91651377,-0.5035554,10.11197474,-91.71678,-92.96708,-89.40953
-4.91600977,-0.01968444,10.17252548,-91.54347,-88.1744,-88.7468
-4.91550577,0.503647,10.23307623,-94.35399,-85.75163,-88.98505
-4.91500177,0.00744652,10.29362698,-100.3585,-99.49171,-90.23868
-4.91449777,-0.5019379,10.35417772,-105.727,-86.72743,-92.45254
-4.91399377,0.00607318,10.41472847,-112.1988,-91.17127,-94.78553
-4.91348977,0.5047456,10.47527922,-109.9167,-91.17905,-96.15203
-4.91298577,-0.02005066,10.53582996,-112.1943,-85.85826,-97.5011
-4.91248177,-0.5039216,10.59638071,-99.4765,-101.5769,-99.59831
-4.91197777,0.03271584,10.65693146,-97.48058,-83.9774,-101.6359
-4.91147377,0.5034028,10.7174822,-102.3361,-90.97733,-100.6963
-4.91096977,-0.04245125,10.77803295,-111.1555,-89.44603,-98.30759
-4.91046577,-0.5018159,10.8385837,-98.71708,-86.18221,-96.43891
-4.90996177,0.0557268,10.89913445,-95.42174,-98.42885,-94.62285
-4.90945777,0.5015107,10.95968519,-96.20146,-84.70517,-92.73993
-4.90895377,-0.06772057,11.02023594,-100.9029,-89.31744,-91.31343
-4.90844977,-0.49794,11.08078669,-102.4583,-88.71623,-90.47199
-4.90794577,0.08273568,11.14133743,-101.1378,-86.48415,-89.93417
-4.90744177,0.4974212,11.20188818,-96.25343,-98.29746,-89.51109
-4.90693777,-0.09472945,11.26243893,-92.93428,-89.22555,-89.0742
-4.90643377,-0.494583,11.32298967,-91.55838,-85.50069,-88.76869
-4.90592977,0.1069979,11.38354042,-92.43865,-87.70771,-89.03029
-4.90542577,0.4925687,11.44409117,-96.00422,-87.06489,-90.05338
-4.90492177,-0.1187475,11.50464191,-103.8337,-101.9102,-92.09987
-4.90441777,-0.4887234,11.56519266,-111.1306,-87.30701,-95.8116
-4.90391377,0.1333964,11.62574341,-105.1533,-88.88808,-98.26163
-4.90340977,0.4859768,11.68629416,-116.4889,-94.82357,-95.86816
-4.90290577,-0.1405072,11.7468449,-97.54779,-86.43215,-94.10798
-4.90240177,-0.4805139,11.80739565,-93.9026,-91.65968,-92.94865
-4.90189777,0.1539354,11.8679464,-94.44484,-85.53941,-91.83846
-4.90139377,0.479751,11.92849714,-98.04429,-89.72133,-90.95501
-4.90088977,-0.1660207,11.98904789,-99.89056,-94.53548,-90.37663
-4.90038577,-0.4730674,12.04959864,-97.50717,-87.78662,-89.86317
-4.89988177,0.1798151,12.11014938,-97.37897,-92.73949,-89.47822
-4.89937777,0.4672994,12.17070013,-95.10445,-88.09241,-89.95775
-4.89887377,-0.1890622,12.23125088,-92.23865,-88.63199,-91.63898
-4.89836977,-0.4637288,12.29180162,-94.01863,-94.65242,-93.91391
-4.89786577,0.2024598,12.35235237,-107.0863,-85.62959,-96.81442
-4.89736177,0.4588458,12.41290312,-97.81337,-88.21071,-103.2174
-4.89685777,-0.2145756,12.47345387,-101.501,-88.08346,-102.6657
-4.89635377,-0.4556414,12.53400461,-104.63,-85.69426,-95.91441
-4.89584977,0.2251045,12.59455536,-98.74467,-105.7218,-93.94945
-4.89534577,0.4477676,12.65510611,-95.86999,-83.35941,-94.10271
-4.89484177,-0.2372204,12.71565685,-97.69317,-94.19044,-94.53981
-4.89433777,-0.4429457,12.7762076,-101.868,-87.94301,-94.40323
-4.89383377,0.2490005,12.83675835,-104.4993,-87.30605,-94.73521
-4.89332977,0.4364452,12.89730909,-105.5301,-102.3161,-96.58435
-4.89282577,-0.2581255,12.95785984,-102.9404,-87.1487,-97.68302
-4.89232177,-0.4300058,13.01841059,-101.6592,-90.14626,-95.5978
-4.89181777,0.2699057,13.07896133,-96.88142,-88.81272,-93.86656
-4.89131377,0.4211249,13.13951208,-93.74444,-87.4802,-92.95799
-4.89080977,-0.2777795,13.20006283,-95.00085,-95.25257,-92.42675
-4.89030577,-0.4161809,13.26061357,-101.281,-88.08649,-92.98676
-4.88980177,0.2915739,13.32116432,-111.6446,-89.47491,-96.09047
-4.88929777,0.408063,13.38171507,-102.4785,-95.04875,-102.0979
-4.88879377,-0.3014313,13.44226582,-101.1676,-84.98698,-98.6675
-4.88828977,-0.4000061,13.50281656,-99.08687,-99.79964,-95.08269
-4.88778577,0.3122349,13.56336731,-95.38853,-86.26476,-93.84469
-4.88728177,0.3926206,13.62391806,-95.94093,-89.34303,-93.76824
-4.88677777,-0.3213599,13.6844688,-99.85571,-93.33231,-94.42804
-4.88627377,-0.3859371,13.74501955,-105.4938,-87.00131,-95.54756
-4.88576977,0.3317667,13.8055703,-115.9377,-96.81456,-96.96518
-4.88526577,0.3754387,13.86612104,-110.0395,-88.2148,-97.80266
-4.88476177,-0.3404035,13.92667179,-103.6135,-87.20696,-97.39093
-4.88425777,-0.3677786,13.98722254,-100.5044,-93.54142,-97.30336
-4.88375377,0.3499557,14.04777328,-99.05567,-87.38864,-98.47115
-4.88324977,0.3605151,14.10832403,-99.37133,-92.37756,-101.1664
-4.88274577,-0.3594165,14.16887478,-102.1895,-87.51102,-108.284
-4.88224177,-0.3501083,14.22942553,-100.8639,-86.21558,-111.1557
-4.88173777,0.3698538,14.28997627,-98.11263,-92.25895,-99.98878
-4.88123377,0.342967,14.35052702,-98.99789,-87.38394,-95.99427
-4.88072977,-0.3754692,14.41107777,-96.19603,-95.36144,-94.66628
-4.88022577,-0.3319193,14.47162851,-93.67412,-89.76139,-94.88122
-4.87972177,0.3862728,14.53217926,-95.63057,-86.1502,-95.7685
-4.87921777,0.3233131,14.59273001,-102.6041,-99.94694,-97.70984
-4.87871377,-0.3903012,14.65328075,-100.8836,-87.24644,-101.6928
-4.87820977,-0.3115024,14.7138315,-101.5469,-91.34434,-101.556
-4.87770577,0.4024476,14.77438225,-102.897,-91.44051,-97.13814
-4.87720177,0.30253,14.83493299,-102.7536,-85.89034,-94.77873
-4.87669777,-0.4065981,14.89548374,-104.9082,-105.9903,-93.96812
-4.87619377,-0.2899869,14.95603449,-101.7386,-85.95868,-94.27968
-4.87568977,0.4152654,15.01658524,-97.16727,-93.50487,-95.47821
-4.87518577,0.2808619,15.07713598,-96.63548,-94.52478,-96.70456
-4.87468177,-0.422895,15.13768673,-102.4787,-85.58185,-97.47028
-4.87417777,-0.2690817,15.19823748,-109.2326,-100.8486,-97.61458
-4.87367377,0.4289682,15.25878822,-100.6738,-86.49443,-93.87584
-4.87316977,0.2591021,15.31933897,-97.78822,-87.79533,-89.66348
-4.87266577,-0.4352245,15.37988972,-94.80766,-91.75365,-87.08405
-4.87216177,-0.249794,15.44044046,-91.24496,-83.79367,-85.8894
-4.87165777,0.4422742,15.50099121,-89.61087,-94.54589,-85.56888
-4.87115377,0.2409131,15.56154196,-90.02695,-85.99075,-85.56519
-4.87064977,-0.4485305,15.6220927,-92.9287,-87.70026,-85.59246
-4.87014577,-0.2275155,15.68264345,-98.26376,-90.44939,-85.8067
-4.86964177,0.4549699,15.7431942,-100.9907,-86.03191,-86.45321
-4.86913777,0.2136601,15.80374495,-95.4457,-99.50977,-87.43727
-4.86863377,-0.4571368,15.86429569,-92.70675,-86.66663,-88.20528
-4.86812977,-0.2031312,15.92484644,-93.43193,-89.59996,-88.25777
-4.86762577,0.4651936,15.98539719,-95.78203,-96.27997,-87.6908
-4.86712177,0.1926328,16.04594793,-95.60303,-86.02021,-87.16559
-4.86661777,-0.4685812,16.10649868,-92.01822,-101.5039,-87.27846
-4.86611377,-0.1803339,16.16704943,-89.64729,-97.91595,-87.94839
-4.86560977,0.4751427,16.22760017,-90.67403,-84.02199,-88.90804
-4.86510577,0.1682485,16.28815092,-96.71379,-94.51517,-90.3914
-4.86460177,-0.4751732,16.34870167,-115.3151,-85.28239,-92.70309
-4.86409777,-0.1573229,16.40925241,-100.4598,-96.56798,-95.03804
-4.86359377,0.4802393,16.46980316,-98.09861,-89.36227,-95.31447
-4.86308977,0.1433454,16.53035391,-97.72821,-86.58334,-94.17187
-4.86258577,-0.4848781,16.59090466,-98.74607,-97.65471,-93.0711
-4.86208177,-0.1320536,16.6514554,-97.68608,-85.4119,-92.34496
-4.86157777,0.4898221,16.71200615,-94.49825,-100.8013,-92.12097
-4.86107377,0.1194494,16.7725569,-94.53976,-94.72844,-92.02606
-4.86056977,-0.494583,16.83310764,-98.4799,-85.94691,-92.20997
-4.86006577,-0.1055635,16.89365839,-104.4606,-112.0509,-93.69775
-4.85956177,0.4940642,16.95420914,-106.0514,-86.89708,-97.00291
-4.85905777,0.09717093,17.01475988,-106.2049,-89.62315,-100.6295
