Time,Channel A,Frequency,Rectangular,Hann,Flat-top
(ms),(V),(kHz),(dBV),(dBV),(dBV)
,,,,,
-4.91122618,0.5020295,10.7174822,-52.81986,-69.80324,-39.63416
-4.91072218,0.5006561,10.77803295,-48.72186,-60.19077,-33.20252
-4.91021818,0.5002899,10.8385837,-42.54654,-46.81304,-29.60266
-4.90971418,0.4981536,10.89913445,-64.37582,-33.97726,-28.0805
-4.90921018,0.5009003,10.95968519,-30.27285,-28.69966,-27.75713
-4.90870618,0.5016328,11.02023594,-28.32361,-27.96522,-27.74905
-4.90820218,0.5002899,11.08078669,-40.57806,-31.50926,-27.87624
-4.90769818,0.5006561,11.14133743,-41.28303,-40.83952,-28.86347
-4.90719418,0.4998932,11.20188818,-69.30499,-82.89063,-31.63459
-4.90669018,0.499527,11.26243893,-47.3775,-61.98207,-36.95491
-4.90618618,0.4981536,11.32298967,-52.24456,-71.18667,-45.61316
-4.90568218,0.5020295,11.38354042,-56.89221,-76.6712,-58.72738
-4.90517818,0.499527,11.44409117,-52.20116,-77.87189,-77.13242
-4.90467418,0.5000153,11.50464191,-69.72015,-92.3642,-91.99187
-4.90417018,0.5001678,11.56519266,-56.2634,-83.7664,-93.35275
-4.90366618,0.4983978,11.62574341,-59.58984,-92.436,-90.82389
-4.90316218,0.5019074,11.68629416,-65.7001,-98.17801,-96.30641
-4.90265818,0.5005341,11.7468449,-60.62553,-89.37226,-106.1409
-4.90215418,0.5011445,11.80739565,-77.17264,-96.6507,-99.61884
-4.90165018,0.5002899,11.8679464,-67.19589,-94.82924,-101.673
-4.90114618,0.5010224,11.92849714,-72.53046,-100.7788,-99.69077
-4.90064218,0.5023957,11.98904789,-86.90903,-103.1537,-96.41595
-4.90013818,0.5005341,12.04959864,-85.27928,-100.4847,-95.06512
-4.89963418,0.5019074,12.11014938,-86.554,-94.39567,-94.87453
-4.89913018,0.499527,12.17070013,-69.47173,-93.75485,-92.81395
-4.89862618,0.5001678,12.23125088,-66.69188,-94.06219,-90.24268
-4.89812218,0.5009003,12.29180162,-72.83739,-100.7436,-90.00718
-4.89761818,0.4994049,12.35235237,-60.1641,-87.22856,-90.67959
-4.89711418,0.5007782,12.41290312,-66.42364,-88.27565,-91.5567
-4.89661018,0.5002899,12.47345387,-59.11036,-83.06358,-89.56554
-4.89610618,0.5019074,12.53400461,-55.66906,-79.75475,-86.77321
-4.89560218,0.5016328,12.59455536,-69.05457,-85.50096,-67.0374
-4.89509818,0.5005341,12.65510611,-50.96174,-70.84048,-51.61829
-4.89459418,0.5005341,12.71565685,-55.24266,-72.42606,-41.33248
-4.89409018,0.5020295,12.7762076,-49.75343,-61.28618,-34.80353
-4.89358618,0.5010224,12.83675835,-44.33244,-48.92961,-31.12641
-4.89308218,0.4991607,12.89730909,-59.0147,-35.68197,-29.55067
-4.89257818,0.500412,12.95785984,-31.98455,-30.23753,-29.20328
-4.89207418,0.5002899,13.01841059,-29.66381,-29.37053,-29.19273
-4.89157018,0.500412,13.07896133,-41.11475,-32.76624,-29.30838
-4.89106618,0.4998932,13.13951208,-42.78123,-41.83633,-30.25558
-4.89056218,0.4998932,13.20006283,-81.56936,-84.14982,-32.96112
-4.89005818,0.5000153,13.26061357,-48.54265,-62.94369,-38.19738
-4.88955418,0.5002899,13.32116432,-54.06313,-74.09159,-46.76949
-4.88905018,0.5012665,13.38171507,-57.27826,-79.145,-59.9606
-4.88854618,0.5002899,13.44226582,-53.63487,-77.54188,-81.22211
-4.88804218,0.5012665,13.50281656,-73.8885,-99.80538,-91.82301
-4.88753818,0.5020295,13.56336731,-57.21292,-87.5701,-91.33434
-4.88703418,0.4997711,13.62391806,-61.26622,-89.84543,-95.88044
-4.88653018,0.5006561,13.6844688,-66.03157,-96.43454,-95.54455
-4.88602618,0.5001678,13.74501955,-61.66414,-92.66007,-94.77875
-4.88552218,0.4998932,13.8055703,-81.55455,-93.36221,-94.17583
-4.88501818,0.5017853,13.86612104,-67.71842,-99.36301,-91.13348
-4.88451418,0.5020295,13.92667179,-74.01974,-93.87157,-90.81332
-4.88401018,0.5031282,13.98722254,-86.61697,-93.45354,-92.39519
-4.88350618,0.5011445,14.04777328,-91.72017,-95.28642,-92.41396
-4.88300218,0.5001678,14.10832403,-91.22359,-99.76032,-92.06557
-4.88249818,0.5022736,14.16887478,-71.15474,-102.2367,-93.95985
-4.88199418,0.5027619,14.22942553,-68.85972,-93.53988,-98.30662
-4.88149018,0.5007782,14.28997627,-73.16348,-100.8516,-100.9472
-4.88098618,0.4986725,14.35052702,-61.68066,-88.93783,-96.26237
-4.88048218,0.4992828,14.41107777,-68.88807,-92.45323,-106.8298
-4.87997818,0.5020295,14.47162851,-60.09641,-83.98727,-107.2371
-4.87947418,0.5010224,14.53217926,-57.28688,-81.77988,-89.26815
-4.87897018,0.5023957,14.59273001,-67.62721,-86.63025,-68.62643
-4.87846618,0.500412,14.65328075,-52.238,-71.86806,-53.22352
-4.87796218,0.500412,14.7138315,-57.55569,-75.70586,-42.83092
-4.87745818,0.5010224,14.77438225,-50.52815,-62.38495,-36.2034
-4.87695418,0.5007782,14.83493299,-45.9564,-50.88171,-32.44732
-4.87645018,0.5002899,14.89548374,-56.37926,-37.20007,-30.81694
-4.87594618,0.499527,14.95603449,-33.51565,-31.57971,-30.44603
-4.87544218,0.499527,15.01658524,-30.8038,-30.57486,-30.43436
-4.87493818,0.5021515,15.07713598,-41.5022,-33.82141,-30.5382
-4.87443418,0.5002899,15.13768673,-44.08968,-42.64568,-31.44195
-4.87393018,0.5013886,15.19823748,-70.16551,-75.88062,-34.07491
-4.87342618,0.4998932,15.25878822,-49.51832,-63.8433,-39.21164
-4.87292218,0.5030061,15.31933897,-55.89365,-75.63503,-47.64035
-4.87241818,0.4991607,15.37988972,-57.72733,-78.71005,-60.52769
