Time,Channel A
(ms),(V)

15.90918044,0.27390360
15.91418044,0.39039280
15.91918044,0.46940520
15.92418044,0.50325020
15.92918044,0.48820460
15.93418044,0.42213200
15.93918044,0.31882690
15.94418044,0.18143250
15.94918044,0.02871792
15.95418044,-0.12942900
15.95918044,-0.27430040
15.96418044,-0.39017920
15.96918044,-0.46931370
15.97418044,-0.50141910
15.97918044,-0.48426770
15.98418044,-0.42152170
15.98918044,-0.32023070
15.99418044,-0.18146310
15.99918044,-0.02676473
16.00418043,0.12680440
16.00918043,0.27253030
16.01418043,0.39051490
16.01918043,0.47016810
16.02418043,0.50376900
16.02918043,0.48719750
16.03418043,0.42100280
16.03918043,0.31720940
16.04418043,0.18393510
16.04918043,0.02798547
16.05418043,-0.12768950
16.05918043,-0.27182840
16.06418043,-0.39030120
16.06918043,-0.46943570
16.07418043,-0.50267030
16.07918043,-0.48649560
16.08418043,-0.42301710
16.08918043,-0.31699580
16.09418043,-0.18222600
16.09918043,-0.02951140
16.10418043,0.12967320
16.10918043,0.27301860
16.11418043,0.38990450
16.11918043,0.46903900
16.12418043,0.50178530
16.12918043,0.48731960
16.13418043,0.42310860
16.13918043,0.31769770
16.14418043,0.18018130
16.14918043,0.02822962
16.15418043,-0.12808620
16.15918043,-0.27381210
16.16418043,-0.38718830
16.16918043,-0.46967990
16.17418043,-0.50242620
16.17918043,-0.48561050
16.18418043,-0.42252880
16.18918043,-0.31489000
16.19418043,-0.18085270
16.19918043,-0.02664266
16.20418043,0.12793360
16.20918043,0.27378150
16.21418043,0.39027070
16.21918043,0.46964930
16.22418043,0.50425730
16.22918043,0.48695330
16.23418043,0.42213200
16.23918043,0.31894900
16.24418043,0.18204290
16.24918043,0.02859584
16.25418043,-0.12768950
16.25918043,-0.27268290
16.26418043,-0.38929410
16.26918043,-0.46906950
16.27418043,-0.50093080
16.27918043,-0.48637350
16.28418043,-0.42338330
16.28918043,-0.31772820
16.29418043,-0.18222600
16.29918043,-0.02764977
16.30418043,0.12939850
16.30918043,0.27402570
16.31418043,0.38901940
16.31918043,0.46879480
16.32418043,0.50450150
16.32918043,0.48783840
16.33418043,0.42362740
16.33918043,0.31833860
16.34418043,0.18192080
16.34918043,0.02871792
16.35418043,-0.12781150
16.35918043,-0.27231670
16.36418043,-0.38856170
16.36918043,-0.46870330
16.37418043,-0.50129710
16.37918043,-0.48811300
16.38418043,-0.42164370
16.38918043,-0.31797240
16.39418043,-0.18182930
16.39918042,-0.02615436
16.40418042,0.12717060
16.40918042,0.27625360
16.41418042,0.39027070
16.41918042,0.46830650
16.42418042,0.50437940
16.42918042,0.48496960
16.43418042,0.42249830
16.43918042,0.31907100
16.44418042,0.18118840
16.44918042,0.02935881
16.45418042,-0.12942900
16.45918042,-0.27304910
16.46418042,-0.38755460
16.46918042,-0.46995450
16.47418042,-0.50279240
16.47918042,-0.48722800
16.48418042,-0.42313910
16.48918042,-0.31598870
16.49418042,-0.18146310
16.49918042,-0.02752770
16.50418042,0.13077180
16.50918042,0.27353740
16.51418042,0.39176610
16.51918042,0.47126680
16.52418042,0.50276190
16.52918042,0.48646500
16.53418042,0.42225410
16.53918042,0.31894900
16.54418042,0.18231760
16.54918042,0.02725303
16.55418042,-0.12869660
16.55918042,-0.27478860
16.56418042,-0.39042330
16.56918042,-0.46894740
16.57418042,-0.50267030
16.57918042,-0.48649560
16.58418042,-0.42139960
16.58918042,-0.31824700
16.59418042,-0.18021180
16.59918042,-0.02801599
16.60418042,0.12854400
16.60918042,0.27426980
16.61418042,0.39124730
16.61918042,0.46980190
16.62418042,0.50065610
16.62918042,0.48808250
16.63418042,0.42173530
16.63918042,0.31684320
16.64418042,0.17957090
16.64918042,0.02835169
16.65418042,-0.12707910
16.65918042,-0.27143160
16.66418042,-0.38843960
16.66918042,-0.46833710
16.67418042,-0.50141910
16.67918042,-0.48573260
16.68418042,-0.42365800
16.68918042,-0.31836910
16.69418042,-0.18121890
16.69918042,-0.02713095
16.70418042,0.12939850
16.70918042,0.27414780
16.71418042,0.39249860
16.71918042,0.46803190
16.72418042,0.50178530
16.72918042,0.48759420
16.73418042,0.42323070
16.73918042,0.31745350
16.74418042,0.18268380
16.74918042,0.02761925
16.75418042,-0.12918490
16.75918042,-0.27195040
16.76418042,-0.38917200
16.76918042,-0.46757410
16.77418042,-0.50267030
16.77918042,-0.48374890
16.78418042,-0.42252880
16.78918042,-0.31958980
16.79418041,-0.17911310
16.79918041,-0.02826014
16.80418041,0.12915430
16.80918041,0.27390360
16.81418041,0.39014860
16.81918041,0.46815390
16.82418041,0.50389110
16.82918041,0.48634300
16.83418041,0.42374950
16.83918041,0.31931520
16.84418041,0.18341620
16.84918041,0.02587970
16.85418041,-0.12768950
16.85918041,-0.27256080
16.86418041,-0.38804280
16.86918041,-0.46870330
16.87418041,-0.50254830
16.87918041,-0.48673970
16.88418041,-0.42176580
16.88918041,-0.31635490
16.89418041,-0.18085270
16.89918041,-0.02676473
16.90418041,0.12692650
16.90918041,0.27613150
16.91418041,0.39027070
16.91918041,0.46964930
16.92418041,0.50251780
16.92918041,0.48646500
16.93418041,0.42225410
16.93918041,0.31672110
16.94418041,0.18143250
16.94918041,0.02661214
16.95418041,-0.12970370
16.95918041,-0.27304910
16.96418041,-0.38929410
16.96918041,-0.47117530
16.97418041,-0.50343330
16.97918041,-0.48649560
16.98418041,-0.42390210
