Frequency,Channel A,Channel B
13.54217529,-∞,-48.56174000
13.58985901,-∞,-42.01742000
13.63754272,-∞,-42.95985000
13.68522644,-∞,-46.55521000
13.73291016,-∞,-47.08675000
13.78059387,-∞,-46.48930000
13.82827759,-∞,-49.81160000
13.87596130,-∞,-65.20123000
13.92364502,-∞,-62.56001000
13.97132874,-∞,-54.38247000
14.01901245,-∞,-53.77517000
14.06669617,-∞,-52.03678000
14.11437988,-∞,-51.32383000
14.16206360,-∞,-48.33795000
14.20974731,-∞,-50.89476000
14.25743103,-∞,-54.38404000
14.30511475,-∞,-55.52452000
14.35279846,-∞,-63.97960000
14.40048218,-∞,-58.92347000
14.44816589,-∞,-52.97308000
14.49584961,-∞,-48.47397000
14.54353333,-∞,-47.35245000
14.59121704,-∞,-49.11668000
14.63890076,-∞,-50.43896000
14.68658447,-∞,-56.11609000
14.73426819,-∞,-67.50596000
14.78195190,-∞,-54.68464000
14.82963562,-∞,-52.76373000
14.87731934,-∞,-54.65740000
14.92500305,-∞,-48.09777000
14.97268677,-∞,-48.23103000
15.02037048,-∞,-48.96536000
15.06805420,-∞,-52.15339000
15.11573792,-∞,-62.47501000
15.16342163,-∞,-51.84314000
15.21110535,-∞,-49.11656000
15.25878906,-∞,-53.24691000
15.30647278,-∞,-64.30312000
15.35415649,-∞,-57.86815000
15.40184021,-∞,-53.51167000
15.44952393,-∞,-48.14251000
15.49720764,-∞,-53.69563000
15.54489136,-∞,-61.26768000
15.59257507,-∞,-57.32198000
15.64025879,-∞,-59.69643000
15.68794250,-∞,-55.21843000
15.73562622,-∞,-59.08930000
15.78330994,-∞,-63.35065000
15.83099365,-∞,-51.67183000
15.87867737,-∞,-51.12273000
15.92636108,-∞,-64.58364000
15.97404480,-∞,-54.44467000
16.02172852,-∞,-53.18468000
16.06941223,-∞,-49.04308000
16.11709595,-∞,-50.85720000
16.16477966,-∞,-62.81089000
16.21246338,-∞,-51.98593000
16.26014709,-∞,-49.22018000
16.30783081,-∞,-55.53234000
16.35551453,-∞,-55.67151000
16.40319824,-∞,-51.84218000
16.45088196,-∞,-54.67259000
16.49856567,-∞,-61.98503000
16.54624939,-∞,-61.40648000
16.59393311,-∞,-53.57676000
16.64161682,-∞,-51.41704000
16.68930054,-∞,-49.97789000
16.73698425,-∞,-50.66280000
16.78466797,-∞,-51.23812000
16.83235168,-∞,-54.36399000
16.88003540,-∞,-64.36625000
16.92771912,-∞,-59.23427000
16.97540283,-∞,-63.50307000
17.02308655,-∞,-59.48479000
17.07077026,-∞,-52.89115000
17.11845398,-∞,-54.68308000
17.16613770,-∞,-49.95487000
17.21382141,-∞,-48.03088000
17.26150513,-∞,-51.69849000
17.30918884,-∞,-53.06153000
17.35687256,-∞,-52.57550000
17.40455627,-∞,-53.97758000
17.45223999,-∞,-55.77208000
17.49992371,-∞,-58.52939000
17.54760742,-∞,-68.95134000
17.59529114,-∞,-56.95393000
17.64297485,-∞,-54.99828000
17.69065857,-∞,-47.77436000
17.73834229,-∞,-46.81263000
17.78602600,-∞,-55.01144000
17.83370972,-∞,-59.37321000
17.88139343,-∞,-51.06886000
17.92907715,-∞,-48.03967000
17.97676086,-∞,-47.46382000
18.02444458,-∞,-47.53913000
18.07212830,-∞,-46.44421000
18.11981201,-∞,-48.44095000
18.16749573,-∞,-53.14016000
18.21517944,-∞,-57.11440000
18.26286316,-∞,-68.32275000
18.31054688,-∞,-56.35820000
18.35823059,-∞,-68.63789000
18.40591431,-∞,-61.06283000
18.45359802,-∞,-55.54374000
18.50128174,-∞,-48.78690000
18.54896545,-∞,-47.24350000
18.59664917,-∞,-48.20790000
18.64433289,-∞,-53.20881000
18.69201660,-∞,-63.18896000
18.73970032,-∞,-53.95470000
18.78738403,-∞,-58.21103000
18.83506775,-∞,-54.93168000
18.88275146,-∞,-50.42526000
18.93043518,-∞,-51.81608000
18.97811890,-∞,-52.43702000
19.02580261,-∞,-49.14049000
19.07348633,-∞,-46.64732000
19.12117004,-∞,-46.49054000
19.16885376,-∞,-47.22635000
19.21653748,-∞,-46.89597000
19.26422119,-∞,-45.97205000
19.31190491,-∞,-48.59036000
19.35958862,-∞,-54.59698000
19.40727234,-∞,-80.24346000
19.45495605,-∞,-60.29010000
19.50263977,-∞,-57.54494000
19.55032349,-∞,-55.58632000
19.59800720,-∞,-61.86727000
19.64569092,-∞,-57.08899000
19.69337463,-∞,-65.69144000
19.74105835,-∞,-51.10305000
19.78874207,-∞,-49.59458000
19.83642578,-∞,-51.51569000
19.88410950,-∞,-50.58069000
19.93179321,-∞,-59.94101000
19.97947693,-∞,-56.34150000
20.02716064,-∞,-54.99010000
20.07484436,-∞,-54.94557000
20.12252808,-∞,-54.13073000
20.17021179,-∞,-54.83014000
20.21789551,-∞,-53.91319000
20.26557922,-∞,-51.15265000
20.31326294,-∞,-53.63404000
20.36094666,-∞,-58.95199000
20.40863037,-∞,-61.82839000
20.45631409,-∞,-54.37365000
20.50399780,-∞,-51.98735000
20.55168152,-∞,-50.59753000
20.59936523,-∞,-53.41446000
20.64704895,-∞,-51.35748000
20.69473267,-∞,-54.43729000
20.74241638,-∞,-54.39322000
20.79010010,-∞,-52.47118000
20.83778381,-∞,-52.24863000
20.88546753,-∞,-54.41676000
20.93315125,-∞,-57.10795000
20.98083496,-∞,-70.39850000
21.02851868,-∞,-59.39733000
21.07620239,-∞,-55.39703000
21.12388611,-∞,-54.32686000
21.17156982,-∞,-55.18660000
21.21925354,-∞,-51.12291000
21.26693726,-∞,-52.77096000
21.31462097,-∞,-47.99470000
21.36230469,-∞,-45.07581000
21.40998840,-∞,-45.86369000
21.45767212,-∞,-49.74413000
21.50535583,-∞,-52.19194000
21.55303955,-∞,-51.45166000
21.60072327,-∞,-51.55167000
21.64840698,-∞,-50.32244000
21.69609070,-∞,-48.90651000
21.74377441,-∞,-49.89790000
21.79145813,-∞,-56.78732000
21.83914185,-∞,-63.85820000
21.88682556,-∞,-65.17560000
21.93450928,-∞,-54.75325000
21.98219299,-∞,-57.29245000
22.02987671,-∞,-56.70767000
22.07756042,-∞,-51.77320000
22.12524414,-∞,-47.31231000
22.17292786,-∞,-49.82319000
22.22061157,-∞,-58.82935000
22.26829529,-∞,-62.55442000
22.31597900,-∞,-56.44666000
22.36366272,-∞,-74.05180000
22.41134644,-∞,-52.86095000
22.45903015,-∞,-55.20876000
22.50671387,-∞,-55.88647000
22.55439758,-∞,-57.62744000
22.60208130,-∞,-45.89733000
22.64976501,-∞,-44.61073000
22.69744873,-∞,-50.19173000
22.74513245,-∞,-53.90162000
22.79281616,-∞,-58.28157000
22.84049988,-∞,-61.62664000
22.88818359,-∞,-54.30621000
22.93586731,-∞,-51.22795000
22.98355103,-∞,-52.48608000
23.03123474,-∞,-68.97909000
23.07891846,-∞,-55.38135000
23.12660217,-∞,-59.79220000
23.17428589,-∞,-61.37892000
23.22196960,-∞,-50.48243000
23.26965332,-∞,-47.15308000
23.31733704,-∞,-50.43382000
23.36502075,-∞,-60.84251000
23.41270447,-∞,-58.21814000
23.46038818,-∞,-61.13282000
23.50807190,-∞,-50.46746000
23.55575562,-∞,-46.01707000
23.60343933,-∞,-46.35198000
23.65112305,-∞,-48.08799000
23.69880676,-∞,-47.66487000
23.74649048,-∞,-47.20003000
23.79417419,-∞,-48.50848000
23.84185791,-∞,-49.70392000
23.88954163,-∞,-50.68106000
23.93722534,-∞,-54.00027000
23.98490906,-∞,-57.49563000
24.03259277,-∞,-52.42923000
24.08027649,-∞,-50.07381000
24.12796021,-∞,-47.73077000
24.17564392,-∞,-47.39622000
24.22332764,-∞,-53.24414000
24.27101135,-∞,-64.53103000
24.31869507,-∞,-85.78278000
24.36637878,-∞,-51.24019000
24.41406250,-∞,-45.32872000
24.46174622,-∞,-46.18456000
24.50942993,-∞,-53.17878000
24.55711365,-∞,-47.23158000
24.60479736,-∞,-51.04776000
24.65248108,-∞,-56.13837000
24.70016479,-∞,-50.69517000
24.74784851,-∞,-52.17878000
24.79553223,-∞,-57.95535000
24.84321594,-∞,-62.18300000
24.89089966,-∞,-55.14873000
24.93858337,-∞,-57.43329000
24.98626709,-∞,-53.77061000
25.03395081,-∞,-49.89807000
25.08163452,-∞,-53.96349000
25.12931824,-∞,-51.33575000
25.17700195,-∞,-51.22966000
25.22468567,-∞,-53.03086000
25.27236938,-∞,-81.00458000
25.32005310,-∞,-51.30959000
25.36773682,-∞,-49.93442000
25.41542053,-∞,-51.61114000
25.46310425,-∞,-59.81790000
25.51078796,-∞,-59.96376000
25.55847168,-∞,-56.40051000
25.60615540,-∞,-53.06894000
25.65383911,-∞,-56.75166000
25.70152283,-∞,-56.25092000
25.74920654,-∞,-54.15464000
25.79689026,-∞,-54.92065000
25.84457397,-∞,-53.43704000
25.89225769,-∞,-56.98519000
25.93994141,-∞,-57.11075000
25.98762512,-∞,-54.34920000
26.03530884,-∞,-65.81609000
26.08299255,-∞,-54.63898000
26.13067627,-∞,-51.37074000
26.17835999,-∞,-49.38362000
26.22604370,-∞,-54.76674000
26.27372742,-∞,-57.43771000
26.32141113,-∞,-53.93769000
26.36909485,-∞,-57.86709000
26.41677856,-∞,-47.62801000
26.46446228,-∞,-47.48145000
26.51214600,-∞,-50.88996000
26.55982971,-∞,-50.15619000
26.60751343,-∞,-53.23947000
26.65519714,-∞,-49.20935000
26.70288086,-∞,-47.79152000
26.75056458,-∞,-50.43987000
26.79824829,-∞,-52.04206000
26.84593201,-∞,-58.20296000
26.89361572,-∞,-55.27480000
26.94129944,-∞,-49.48833000
26.98898315,-∞,-49.65870000
27.03666687,-∞,-52.12496000
27.08435059,-∞,-56.45414000
27.13203430,-∞,-58.53733000
27.17971802,-∞,-53.89687000
27.22740173,-∞,-52.69413000
27.27508545,-∞,-56.99309000
27.32276917,-∞,-60.06161000
27.37045288,-∞,-54.85067000
27.41813660,-∞,-49.47061000
27.46582031,-∞,-49.59907000
27.51350403,-∞,-55.65396000
27.56118774,-∞,-51.54108000
27.60887146,-∞,-54.07174000
27.65655518,-∞,-66.48233000
27.70423889,-∞,-62.61539000
27.75192261,-∞,-54.22840000
27.79960632,-∞,-51.45443000
27.84729004,-∞,-48.86318000
27.89497375,-∞,-51.23009000
27.94265747,-∞,-56.20331000
27.99034119,-∞,-56.08136000
28.03802490,-∞,-53.12164000
28.08570862,-∞,-50.27372000
28.13339233,-∞,-50.16695000
28.18107605,-∞,-53.15714000
28.22875977,-∞,-57.36697000
28.27644348,-∞,-63.54229000
28.32412720,-∞,-50.96181000
28.37181091,-∞,-47.79877000
28.41949463,-∞,-49.66653000
28.46717834,-∞,-56.56944000
28.51486206,-∞,-52.64597000
28.56254578,-∞,-49.33110000
28.61022949,-∞,-51.64133000
28.65791321,-∞,-58.07788000
28.70559692,-∞,-64.83956000
28.75328064,-∞,-57.85207000
28.80096436,-∞,-52.03928000
28.84864807,-∞,-47.39957000
28.89633179,-∞,-47.76580000
28.94401550,-∞,-57.27774000
28.99169922,-∞,-55.83261000
29.03938293,-∞,-60.50884000
29.08706665,-∞,-61.67567000
29.13475037,-∞,-53.89597000
29.18243408,-∞,-54.46334000
29.23011780,-∞,-57.39678000
29.27780151,-∞,-55.14218000
29.32548523,-∞,-53.63799000
29.37316895,-∞,-51.14347000
29.42085266,-∞,-48.58484000
29.46853638,-∞,-49.35406000
29.51622009,-∞,-50.51186000
29.56390381,-∞,-49.57625000
29.61158752,-∞,-50.33703000
29.65927124,-∞,-55.88572000
29.70695496,-∞,-52.64318000
29.75463867,-∞,-52.88067000
29.80232239,-∞,-53.90459000
29.85000610,-∞,-56.57318000
29.89768982,-∞,-71.00044000
29.94537354,-∞,-59.00909000
29.99305725,-∞,-74.87460000
30.04074097,-∞,-56.19659000
30.08842468,-∞,-55.21851000
30.13610840,-∞,-58.87509000
30.18379211,-∞,-67.42427000
30.23147583,-∞,-51.73371000
30.27915955,-∞,-47.86293000
30.32684326,-∞,-50.62854000
30.37452698,-∞,-69.27350000
30.42221069,-∞,-52.69866000
30.46989441,-∞,-54.19395000
30.51757813,-∞,-52.48241000
30.56526184,-∞,-48.51730000
30.61294556,-∞,-47.33333000
30.66062927,-∞,-49.18564000
30.70831299,-∞,-54.23824000
30.75599670,-∞,-54.94550000
30.80368042,-∞,-56.44689000
30.85136414,-∞,-56.26301000
30.89904785,-∞,-57.35658000
30.94673157,-∞,-56.62176000
30.99441528,-∞,-54.57998000
31.04209900,-∞,-53.99628000
31.08978271,-∞,-50.99691000
31.13746643,-∞,-48.73864000
31.18515015,-∞,-52.00355000
31.23283386,-∞,-58.27893000
31.28051758,-∞,-65.75611000
31.32820129,-∞,-65.87895000
31.37588501,-∞,-61.79701000
31.42356873,-∞,-49.02260000
31.47125244,-∞,-48.35769000
31.51893616,-∞,-54.38996000
31.56661987,-∞,-58.98314000
31.61430359,-∞,-56.19257000
31.66198730,-∞,-60.34446000
31.70967102,-∞,-53.30820000
31.75735474,-∞,-49.46266000
31.80503845,-∞,-49.49876000
31.85272217,-∞,-55.65303000
31.90040588,-∞,-47.50389000
31.94808960,-∞,-50.29965000
31.99577332,-∞,-70.72155000
32.04345703,-∞,-55.68084000
32.09114075,-∞,-57.67593000
32.13882446,-∞,-57.47746000
32.18650818,-∞,-51.60729000
32.23419189,-∞,-48.71443000
32.28187561,-∞,-53.41463000
32.32955933,-∞,-56.04706000
32.37724304,-∞,-54.32585000
32.42492676,-∞,-54.15983000
32.47261047,-∞,-55.95883000
32.52029419,-∞,-56.27733000
32.56797791,-∞,-55.01501000
32.61566162,-∞,-53.36552000
32.66334534,-∞,-72.18787000
32.71102905,-∞,-53.16918000
32.75871277,-∞,-52.32845000
32.80639648,-∞,-51.48826000
32.85408020,-∞,-58.81606000
32.90176392,-∞,-59.30162000
32.94944763,-∞,-62.32059000
32.99713135,-∞,-60.38768000
33.04481506,-∞,-53.40963000
33.09249878,-∞,-54.39941000
33.14018250,-∞,-53.15273000
33.18786621,-∞,-50.55833000
33.23554993,-∞,-49.41530000
33.28323364,-∞,-53.82432000
33.33091736,-∞,-55.33722000
33.37860107,-∞,-48.83987000
33.42628479,-∞,-51.34418000
33.47396851,-∞,-52.85107000
33.52165222,-∞,-51.52258000
33.56933594,-∞,-51.56495000
33.61701965,-∞,-59.83268000
33.66470337,-∞,-65.03030000
33.71238708,-∞,-73.38850000
33.76007080,-∞,-59.71814000
33.80775452,-∞,-52.46655000
33.85543823,-∞,-48.83469000
33.90312195,-∞,-52.85023000
33.95080566,-∞,-51.78129000
33.99848938,-∞,-51.42153000
34.04617310,-∞,-51.31424000
34.09385681,-∞,-49.74753000
34.14154053,-∞,-49.33806000
34.18922424,-∞,-57.89100000
34.23690796,-∞,-54.27184000
34.28459167,-∞,-50.27896000
34.33227539,-∞,-49.43254000
34.37995911,-∞,-49.12325000
34.42764282,-∞,-50.49828000
34.47532654,-∞,-51.07090000
34.52301025,-∞,-50.62109000
34.57069397,-∞,-56.89625000
34.61837769,-∞,-56.29882000
34.66606140,-∞,-49.18121000
34.71374512,-∞,-50.70381000
34.76142883,-∞,-87.43206000
34.80911255,-∞,-52.90308000
34.85679626,-∞,-51.14228000
34.90447998,-∞,-49.62077000
34.95216370,-∞,-50.58435000
34.99984741,-∞,-52.47369000
35.04753113,-∞,-49.50943000
35.09521484,-∞,-52.55132000
35.14289856,-∞,-55.97622000
35.19058228,-∞,-60.27742000
35.23826599,-∞,-72.18193000
35.28594971,-∞,-69.81438000
35.33363342,-∞,-62.98916000
35.38131714,-∞,-48.64149000
35.42900085,-∞,-44.99569000
35.47668457,-∞,-47.87704000
35.52436829,-∞,-59.27517000
35.57205200,-∞,-76.16659000
35.61973572,-∞,-54.07106000
35.66741943,-∞,-46.11283000
35.71510315,-∞,-47.22012000
35.76278687,-∞,-60.21902000
35.81047058,-∞,-58.42799000
35.85815430,-∞,-57.34796000
35.90583801,-∞,-57.74694000
35.95352173,-∞,-54.44433000
36.00120544,-∞,-49.99179000
36.04888916,-∞,-48.67740000
36.09657288,-∞,-49.93961000
36.14425659,-∞,-52.23724000
36.19194031,-∞,-55.76203000
36.23962402,-∞,-57.64787000
36.28730774,-∞,-50.99260000
36.33499146,-∞,-51.28061000
36.38267517,-∞,-57.18978000
36.43035889,-∞,-71.85479000
36.47804260,-∞,-56.96487000
36.52572632,-∞,-55.50355000
36.57341003,-∞,-62.73696000
36.62109375,-∞,-62.25515000
36.66877747,-∞,-52.26446000
36.71646118,-∞,-53.56039000
36.76414490,-∞,-57.45480000
36.81182861,-∞,-50.19763000
36.85951233,-∞,-47.65376000
36.90719604,-∞,-47.62320000
36.95487976,-∞,-47.77696000
37.00256348,-∞,-48.96040000
37.05024719,-∞,-51.40731000
37.09793091,-∞,-54.14878000
37.14561462,-∞,-62.55857000
37.19329834,-∞,-57.43198000
37.24098206,-∞,-55.18238000
37.28866577,-∞,-50.11234000
37.33634949,-∞,-54.33467000
37.38403320,-∞,-55.87761000
37.43171692,-∞,-55.24712000
37.47940063,-∞,-52.31283000
37.52708435,-∞,-49.22785000
37.57476807,-∞,-51.97567000
37.62245178,-∞,-58.09760000
37.67013550,-∞,-54.23796000
37.71781921,-∞,-52.02206000
37.76550293,-∞,-51.22726000
37.81318665,-∞,-49.68003000
37.86087036,-∞,-50.02513000
37.90855408,-∞,-55.13731000
37.95623779,-∞,-64.24370000
38.00392151,-∞,-58.09719000
38.05160522,-∞,-52.84302000
38.09928894,-∞,-55.54169000
38.14697266,-∞,-51.48518000
38.19465637,-∞,-49.22565000
38.24234009,-∞,-49.06834000
38.29002380,-∞,-50.58070000
38.33770752,-∞,-52.45030000
38.38539124,-∞,-58.79000000
38.43307495,-∞,-52.27568000
38.48075867,-∞,-54.10998000
38.52844238,-∞,-60.54826000
38.57612610,-∞,-55.37203000
38.62380981,-∞,-55.44517000
38.67149353,-∞,-50.44802000
38.71917725,-∞,-51.83048000
38.76686096,-∞,-53.86873000
38.81454468,-∞,-51.39917000
38.86222839,-∞,-54.47848000
38.90991211,-∞,-51.45687000
38.95759583,-∞,-55.73331000
39.00527954,-∞,-53.17101000
39.05296326,-∞,-49.38737000
