Frequency,Channel B
(kHz),(dBu)

12.68386841,-52.96993000
12.77923584,-55.54391000
12.87460327,-55.23110000
12.96997070,-57.38484000
13.06533813,-57.13267000
13.16070557,-52.00977000
13.25607300,-59.56679000
13.35144043,-55.62497000
13.44680786,-53.50874000
13.54217529,-49.39789000
13.63754272,-52.52362000
13.73291016,-61.02771000
13.82827759,-43.90074000
13.92364502,-46.82951000
14.01901245,-46.51825000
14.11437988,-56.12417000
14.20974731,-51.98074000
14.30511475,-48.27075000
14.40048218,-54.19086000
14.49584961,-55.81086000
14.59121704,-63.40496000
14.68658447,-48.40404000
14.78195190,-46.05259000
14.87731934,-58.01304000
14.97268677,-51.81049000
15.06805420,-53.24695000
15.16342163,-53.58104000
15.25878906,-59.39336000
15.35415649,-57.76592000
15.44952393,-58.27834000
15.54489136,-51.60418000
15.64025879,-60.77982000
15.73562622,-51.73407000
15.83099365,-71.36331000
15.92636108,-55.04555000
16.02172852,-55.19163000
16.11709595,-61.48665000
16.21246338,-53.38594000
16.30783081,-55.98066000
16.40319824,-59.49018000
16.49856567,-60.24715000
16.59393311,-54.43912000
16.68930054,-72.46435000
16.78466797,-54.41763000
16.88003540,-58.26398000
16.97540283,-57.09805000
17.07077026,-59.42760000
17.16613770,-53.92958000
17.26150513,-75.49287000
17.35687256,-50.11770000
17.45223999,-51.80032000
17.54760742,-55.13487000
17.64297485,-48.07669000
17.73834229,-52.63046000
17.83370972,-61.56121000
17.92907715,-57.62662000
18.02444458,-54.30737000
18.11981201,-58.02602000
18.21517944,-49.73174000
18.31054688,-47.41470000
18.40591431,-55.56281000
18.50128174,-60.32005000
18.59664917,-48.01690000
18.69201660,-43.44951000
18.78738403,-49.43566000
18.88275146,-48.28956000
18.97811890,-56.63287000
19.07348633,-50.06104000
19.16885376,-49.47466000
19.26422119,-49.64542000
19.35958862,-59.32133000
19.45495605,-53.04535000
19.55032349,-55.26043000
19.64569092,-48.62521000
19.74105835,-47.24817000
19.83642578,-50.53324000
19.93179321,-48.68653000
20.02716064,-53.73706000
20.12252808,-56.93258000
20.21789551,-73.78084000
20.31326294,-52.12029000
20.40863037,-58.28053000
20.50399780,-56.21653000
20.59936523,-61.83973000
20.69473267,-54.53917000
20.79010010,-60.47201000
20.88546753,-52.55984000
20.98083496,-54.29613000
21.07620239,-50.95192000
21.17156982,-59.56329000
21.26693726,-63.03097000
21.36230469,-55.85705000
21.45767212,-59.72898000
21.55303955,-61.91509000
21.64840698,-56.04637000
21.74377441,-54.56230000
21.83914185,-76.48581000
21.93450928,-55.85665000
22.02987671,-55.17939000
22.12524414,-54.77346000
22.22061157,-52.68511000
22.31597900,-54.08805000
22.41134644,-48.52110000
22.50671387,-55.47104000
22.60208130,-48.04998000
22.69744873,-51.87643000
22.79281616,-65.79143000
22.88818359,-68.78218000
22.98355103,-52.11757000
23.07891846,-62.12659000
23.17428589,-52.60925000
23.26965332,-54.44021000
23.36502075,-47.61435000
23.46038818,-49.33051000
23.55575562,-50.20055000
23.65112305,-49.62849000
23.74649048,-50.54612000
23.84185791,-48.66742000
23.93722534,-54.38665000
24.03259277,-51.35996000
24.12796021,-48.01693000
24.22332764,-46.26618000
24.31869507,-58.47636000
24.41406250,-54.28964000
24.50942993,-63.38998000
24.60479736,-57.89613000
24.70016479,-49.47426000
24.79553223,-50.76979000
24.89089966,-69.00282000
24.98626709,-59.22430000
25.08163452,-50.55471000
25.17700195,-62.06042000
25.27236938,-53.73346000
25.36773682,-65.58962000
25.46310425,-53.93353000
25.55847168,-47.15919000
25.65383911,-60.65493000
25.74920654,-51.18166000
25.84457397,-58.92009000
25.93994141,-57.16948000
26.03530884,-51.01586000
26.13067627,-57.84362000
26.22604370,-48.19404000
26.32141113,-52.10466000
26.41677856,-63.01658000
26.51214600,-54.81014000
26.60751343,-53.82359000
26.70288086,-60.98851000
26.79824829,-49.13871000
26.89361572,-48.22453000
26.98898315,-64.10498000
27.08435059,-49.69595000
27.17971802,-50.66214000
27.27508545,-63.23082000
27.37045288,-58.15445000
27.46582031,-45.76714000
27.56118774,-49.13590000
27.65655518,-51.31592000
27.75192261,-43.68605000
27.84729004,-50.18218000
27.94265747,-49.29647000
28.03802490,-60.64861000
28.13339233,-51.57384000
28.22875977,-46.21122000
28.32412720,-53.88681000
28.41949463,-49.02242000
28.51486206,-55.52900000
28.61022949,-44.25893000
28.70559692,-49.97820000
28.80096436,-47.85526000
28.89633179,-51.22333000
28.99169922,-52.04659000
29.08706665,-41.86609000
